gender	age	attitude	deep	stra	surf
171	F	23	32	3.58333333333333	2	1.75
172	F	20	35	3.08333333333333	2.875	3
173	F	20	24	3.75	2.75	2.58333333333333
174	F	25	38	4.08333333333333	3.375	2.75
175	F	20	21	4.16666666666667	4	3.33333333333333
176	F	20	29	4.16666666666667	2.375	2.83333333333333
177	F	19	19	3.25	3.875	3
178	F	19	20	4.08333333333333	3.375	2.83333333333333
179	F	22	42	2.91666666666667	1.75	3.16666666666667
180	M	35	41	3.83333333333333	3	2.75
181	F	18	37	3.16666666666667	2.625	3.41666666666667
182	F	19	36	3.41666666666667	2.625	3
183	M	21	18	4.08333333333333	3.375	2.66666666666667
